bill_number,bill_type,congress,full_name_display,bioguide_id,person_id
44,S,117,"Toomey, Patrick Joseph, Jr. (R-PA-2)",T000461,51835
50,S,117,"Merkley, Jeffrey Alan (D-OR-1)",M001176,66836
51,S,117,"Cortez Masto, Catherine Marie (D-NV-2)",C001113,259552
51,S,117,"Peters, Gary Charles, Sr. (D-MI-2)",P000595,66862
51,S,117,"Warnock, Raphael Gamaliel (D-GA-2)",W000790,369737
53,S,117,"Booker, Cory Anthony (D-NJ-2)",B001288,211545
53,S,117,"Peters, Gary Charles, Sr. (D-MI-2)",P000595,66862
53,S,117,"Warnock, Raphael Gamaliel (D-GA-2)",W000790,369737
55,S,117,"Hawley, Joshua David (R-MO-1)",H001089,307631
56,S,117,"Shaheen, Cynthia Jeanne Bowers (D-NH-2)",S001181,66834
59,S,117,"Boozman, John Nichols (R-AR-1)",B001236,51287
61,S,117,"Johnson, Ronald Harold (R-WI-1)",J000293,151822
61,S,117,"Paul, Randal Howard (R-KY-1)",P000603,151828
65,S,117,"Cardin, Benjamin Louis (D-MD-1)",C000141,51313
65,S,117,"Collins, Susan Margaret (R-ME-1)",C001035,51168
65,S,117,"Hassan, Margaret Coldwell Wood (D-NH-1)",H001076,232351
65,S,117,"Warner, Mark Robert (D-VA-2)",W000805,66837
68,S,117,"Sullivan, Daniel Scott (R-AK)",S001198,221840
72,S,117,"Murphy, Christopher Scott (D-CT-2)",M001169,51493
75,S,117,"Cramer, Kevin John (R-ND)",C001096,198816
76,S,117,"Toomey, Patrick Joseph, Jr. (R-PA-2)",T000461,51835
78,S,117,"Moran, Gerald Wesley (R-KS-1)",M000934,51535
79,s,117,"Schumer, Charles Ellis (D-NY-2)",S000148,51231
80,S,117,"Grassley, Charles Ernest (R-IA-1)",G000386,51187
80,S,117,"Moran, Gerald Wesley (R-KS-1)",M000934,51535
82,S,117,"Wicker, Roger Frederick (R-MS-2)",W000437,51675
86,S,117,"Cruz, Rafael Edward (R-TX-2)",C001098,175665
87,S,117,"Daines, Steven David (R-MT)",D000618,198810
87,S,117,"Rounds, Marion Michael (R-SD)",R000605,221844
89,S,117,"Warren, Elizabeth Ann (D-MA-1)",W000817,140963
89,S,117,"Whitehouse, Sheldon (D-RI-2)",W000802,51844
92,S,117,"Marshall, Roger Wayne (R-KS-2)",M001198,259544
98,S,117,"Feinstein, Dianne Goldman Berman (D-CA-2)",F000062,51184
98,S,117,"Van Hollen, Christopher J., Jr. (D-MD-2)",V000128,51658
104,S,117,"Murphy, Christopher Scott (D-CT-2)",M001169,51493
107,S,117,"Cramer, Kevin John (R-ND)",C001096,198816
115,S,117,"Cortez Masto, Catherine Marie (D-NV-2)",C001113,259552
116,S,117,"Wicker, Roger Frederick (R-MS-2)",W000437,51675
123,S,117,"Boozman, John Nichols (R-AR-1)",B001236,51287
123,S,117,"Graham, Lindsey Olin (R-SC-2)",G000359,51186
123,S,117,"Hawley, Joshua David (R-MO-1)",H001089,307631
123,S,117,"Romney, Willard Mitt (R-UT-2)",R000615,172424
123,S,117,"Rubio, Marco Antonio (R-FL-1)",R000595,151820
123,S,117,"Scott, Richard Lynn (R-FL-2)",S001217,175586
123,S,117,"Scott, Timothy Eugene (R-SC-1)",S001184,151800
125,S,117,"Rubio, Marco Antonio (R-FL-1)",R000595,151820
134,S,117,"Tillis, Thomas Roland (R-NC-2)",T000476,192907
139,S,117,"Cramer, Kevin John (R-ND)",C001096,198816
141,S,117,"Leahy, Patrick Joseph (D-VT)",L000174,51206
142,S,117,"Heinrich, Martin Trevor (D-NM-1)",H001046,66869
142,S,117,"Sinema, Kyrsten Lea (D-AZ-1)",S001191,198919
146,S,117,"Baldwin, Tammy Suzanne Green (D-WI-2)",B001230,51260
151,S,117,"Peters, Gary Charles, Sr. (D-MI-2)",P000595,66862
162,S,117,"Markey, Edward John (D-MA-2)",M000133,51500
168,S,117,"Tillis, Thomas Roland (R-NC-2)",T000476,192907
172,S,117,"Hyde-Smith, Cindy (R-MS-1)",H001079,286518
178,S,117,"Baldwin, Tammy Suzanne Green (D-WI-2)",B001230,51260
184,S,117,"Brown, Sherrod Campbell (D-OH-1)",B000944,51301
190,s,117,"Luján, Ben Ray, Jr. (D-NM-2)",L000570,66871
